fecha,cantidad
2016-2-13,175647
2015-7-5,31551
2015-4-28,13929
2016-1-16,97933
2016-1-20,118531
2015-4-16,15817
2015-5-2,12676
2015-6-23,24373
2015-4-6,11251
2015-5-6,15267
2015-4-11,11594
2016-1-9,122528
2015-4-1,12659
2015-3-29,9990
2015-3-10,10123
2015-3-8,10405
2015-3-7,7828
2015-12-15,99310
2015-5-31,16081
2015-2-20,11367
2015-11-30,68373
2015-1-28,8698
2015-1-8,5375
2015-5-11,14896
2016-2-27,340935
2015-1-6,5278
2016-2-19,284867
2015-1-5,4473
2015-5-9,11371
2016-2-23,327863
2015-3-27,10953
2015-2-23,13317
2015-11-26,78898
2015-1-12,5374
2015-1-14,5554
2015-5-30,17554
2015-2-19,15701
2015-2-26,11524
2015-1-25,6823
2015-4-2,12267
2015-5-4,14572
2015-11-28,48916
2015-1-11,4715
2015-2-17,7674
2015-11-29,50887
2015-1-13,5933
2015-2-2,8453
2015-3-30,10963
2015-2-1,7842
2015-8-20,58612
2015-11-7,481092
2015-8-16,33611
2015-11-8,471864
2015-8-15,35834
2015-11-9,502516
2015-8-11,51085
2015-11-13,894847
2015-8-12,60076
2015-11-12,756190
2015-8-13,59127
2015-11-11,578163
2015-8-14,47093
2015-11-10,517820
2015-8-10,73404
2015-11-14,765932
2015-8-9,70850
2015-11-15,442712
2015-8-8,42917
2015-11-16,588699
2016-3-9,1118599
2016-3-8,1005727
2016-3-6,732124
2016-3-4,662832
2016-3-3,598648
2015-7-8,26221
2016-2-22,330018
2015-7-9,26378
2015-10-2,118241
2016-2-20,233163
2015-5-7,16629
2016-2-17,268320
2016-2-3,164282
2015-4-18,10165
2016-1-30,119737
2015-6-11,20988
2016-1-27,131299
2015-5-8,16540
2016-2-21,245086
2016-1-26,134894
2015-7-15,30073
2016-2-16,251019
2016-1-1,68628
2015-12-31,84568
2015-12-30,84613
2015-12-27,63427
2015-12-26,58675
2015-12-24,80635
2015-12-21,81979
2015-11-19,145131
2015-11-18,84545
2015-7-10,29610
2016-2-26,398304
2015-5-10,11382
2016-2-25,360727
2015-4-24,13487
2016-1-14,113206
2015-1-2,4211
2015-12-19,66512
2015-11-23,151122
2015-11-22,152797
2016-3-7,842919
2016-3-2,556711
2015-5-12,21774
2015-7-25,26778
2016-2-29,623859
2015-11-21,61569
2015-7-14,28181
2016-2-18,278658
2015-12-28,77387
2015-12-17,98863
